"","male","male_p","age","subject","top_1","top_2","bottom_1","bottom_2","d"
"126",0,0,32,6,140,140,120,180,0
"127",0,0,32,6,140,0,120,140,1
"128",0,0,32,6,140,120,80,80,0
"129",0,0,32,6,140,100,100,40,0
"130",0,0,32,6,100,140,100,200,0
"131",0,0,32,6,80,0,140,100,1
"132",0,0,32,6,160,40,120,80,1
"133",0,0,32,6,120,40,140,100,1
"134",0,0,32,6,140,160,160,120,1
"135",0,0,32,6,100,100,200,0,0
"136",0,0,32,6,100,200,100,100,1
"137",0,0,32,6,80,40,140,100,1
"138",0,0,32,6,140,20,120,100,1
"139",0,0,32,6,120,80,100,100,0
"140",0,0,32,6,100,140,100,60,0
"141",0,0,32,6,160,0,100,100,1
"142",0,0,32,6,120,0,140,140,1
"143",0,0,32,6,120,120,140,40,0
"144",0,0,32,6,140,140,120,80,0
"145",0,0,32,6,80,80,140,40,1
"146",0,0,32,6,120,120,140,80,0
"147",0,0,32,6,100,20,100,100,1
"148",0,0,32,6,120,0,140,100,1
"149",0,0,32,6,160,80,140,160,1
"150",0,0,32,6,200,0,180,20,0
"151",0,0,42,7,140,140,120,180,0
"152",0,0,42,7,140,0,120,140,1
"153",0,0,42,7,140,120,80,80,0
"154",0,0,42,7,140,100,100,40,0
"155",0,0,42,7,100,140,100,200,0
"156",0,0,42,7,80,0,140,100,1
"157",0,0,42,7,160,40,120,80,1
"158",0,0,42,7,120,40,140,100,1
"159",0,0,42,7,140,160,160,120,1
"160",0,0,42,7,100,100,200,0,0
"161",0,0,42,7,100,200,100,100,1
"162",0,0,42,7,80,40,140,100,1
"163",0,0,42,7,140,20,120,100,1
"164",0,0,42,7,120,80,100,100,0
"165",0,0,42,7,100,140,100,60,0
"166",0,0,42,7,160,0,100,100,1
"167",0,0,42,7,120,0,140,140,1
"168",0,0,42,7,120,120,140,40,0
"169",0,0,42,7,140,140,120,80,0
"170",0,0,42,7,80,80,140,40,0
"171",0,0,42,7,120,120,140,80,0
"172",0,0,42,7,100,20,100,100,1
"173",0,0,42,7,120,0,140,100,1
"174",0,0,42,7,160,80,140,160,1
"175",0,0,42,7,200,0,180,20,1
"176",0,1,36,8,140,140,120,180,0
"177",0,1,36,8,140,0,120,140,1
"178",0,1,36,8,140,120,80,80,0
"179",0,1,36,8,140,100,100,40,0
"180",0,1,36,8,100,140,100,200,0
"181",0,1,36,8,80,0,140,100,1
"182",0,1,36,8,160,40,120,80,1
"183",0,1,36,8,120,40,140,100,1
"184",0,1,36,8,140,160,160,120,0
"185",0,1,36,8,100,100,200,0,0
"186",0,1,36,8,100,200,100,100,1
"187",0,1,36,8,80,40,140,100,1
"188",0,1,36,8,140,20,120,100,1
"189",0,1,36,8,120,80,100,100,1
"190",0,1,36,8,100,140,100,60,0
"191",0,1,36,8,160,0,100,100,1
"192",0,1,36,8,120,0,140,140,1
"193",0,1,36,8,120,120,140,40,0
"194",0,1,36,8,140,140,120,80,0
"195",0,1,36,8,80,80,140,40,0
"196",0,1,36,8,120,120,140,80,0
"197",0,1,36,8,100,20,100,100,1
"198",0,1,36,8,120,0,140,100,1
"199",0,1,36,8,160,80,140,160,1
"200",0,1,36,8,200,0,180,20,1
"201",1,1,41,9,140,140,120,180,0
"202",1,1,41,9,140,0,120,140,1
"203",1,1,41,9,140,120,80,80,0
"204",1,1,41,9,140,100,100,40,0
"205",1,1,41,9,100,140,100,200,0
"206",1,1,41,9,80,0,140,100,1
"207",1,1,41,9,160,40,120,80,0
"208",1,1,41,9,120,40,140,100,1
"209",1,1,41,9,140,160,160,120,0
"210",1,1,41,9,100,100,200,0,1
"211",1,1,41,9,100,200,100,100,1
"212",1,1,41,9,80,40,140,100,1
"213",1,1,41,9,140,20,120,100,1
"214",1,1,41,9,120,80,100,100,0
"215",1,1,41,9,100,140,100,60,0
"216",1,1,41,9,160,0,100,100,1
"217",1,1,41,9,120,0,140,140,1
"218",1,1,41,9,120,120,140,40,0
"219",1,1,41,9,140,140,120,80,0
"220",1,1,41,9,80,80,140,40,1
"221",1,1,41,9,120,120,140,80,0
"222",1,1,41,9,100,20,100,100,1
"223",1,1,41,9,120,0,140,100,1
"224",1,1,41,9,160,80,140,160,1
"225",1,1,41,9,200,0,180,20,0
"226",0,0,44,10,140,140,120,180,0
"227",0,0,44,10,140,0,120,140,1
"228",0,0,44,10,140,120,80,80,0
"229",0,0,44,10,140,100,100,40,0
"230",0,0,44,10,100,140,100,200,0
"231",0,0,44,10,80,0,140,100,1
"232",0,0,44,10,160,40,120,80,1
"233",0,0,44,10,120,40,140,100,1
"234",0,0,44,10,140,160,160,120,1
"235",0,0,44,10,100,100,200,0,0
"236",0,0,44,10,100,200,100,100,1
"237",0,0,44,10,80,40,140,100,1
"238",0,0,44,10,140,20,120,100,1
"239",0,0,44,10,120,80,100,100,1
"240",0,0,44,10,100,140,100,60,0
"241",0,0,44,10,160,0,100,100,1
"242",0,0,44,10,120,0,140,140,1
"243",0,0,44,10,120,120,140,40,0
"244",0,0,44,10,140,140,120,80,0
"245",0,0,44,10,80,80,140,40,0
"246",0,0,44,10,120,120,140,80,0
"247",0,0,44,10,100,20,100,100,1
"248",0,0,44,10,120,0,140,100,1
"249",0,0,44,10,160,80,140,160,1
"250",0,0,44,10,200,0,180,20,0
"251",0,1,22,11,140,140,120,180,0
"252",0,1,22,11,140,0,120,140,1
"253",0,1,22,11,140,120,80,80,0
"254",0,1,22,11,140,100,100,40,0
"255",0,1,22,11,100,140,100,200,0
"256",0,1,22,11,80,0,140,100,1
"257",0,1,22,11,160,40,120,80,1
"258",0,1,22,11,120,40,140,100,1
"259",0,1,22,11,140,160,160,120,0
"260",0,1,22,11,100,100,200,0,0
"261",0,1,22,11,100,200,100,100,1
"262",0,1,22,11,80,40,140,100,1
"263",0,1,22,11,140,20,120,100,1
"264",0,1,22,11,120,80,100,100,1
"265",0,1,22,11,100,140,100,60,0
"266",0,1,22,11,160,0,100,100,1
"267",0,1,22,11,120,0,140,140,1
"268",0,1,22,11,120,120,140,40,0
"269",0,1,22,11,140,140,120,80,0
"270",0,1,22,11,80,80,140,40,0
"271",0,1,22,11,120,120,140,80,0
"272",0,1,22,11,100,20,100,100,1
"273",0,1,22,11,120,0,140,100,1
"274",0,1,22,11,160,80,140,160,1
"275",0,1,22,11,200,0,180,20,1
"276",1,1,47,12,140,140,120,180,0
"277",1,1,47,12,140,0,120,140,1
"278",1,1,47,12,140,120,80,80,0
"279",1,1,47,12,140,100,100,40,0
"280",1,1,47,12,100,140,100,200,1
"281",1,1,47,12,80,0,140,100,1
"282",1,1,47,12,160,40,120,80,1
"283",1,1,47,12,120,40,140,100,1
"284",1,1,47,12,140,160,160,120,0
"285",1,1,47,12,100,100,200,0,1
"286",1,1,47,12,100,200,100,100,0
"287",1,1,47,12,80,40,140,100,1
"288",1,1,47,12,140,20,120,100,1
"289",1,1,47,12,120,80,100,100,0
"290",1,1,47,12,100,140,100,60,0
"291",1,1,47,12,160,0,100,100,1
"292",1,1,47,12,120,0,140,140,1
"293",1,1,47,12,120,120,140,40,0
"294",1,1,47,12,140,140,120,80,0
"295",1,1,47,12,80,80,140,40,1
"296",1,1,47,12,120,120,140,80,0
"297",1,1,47,12,100,20,100,100,1
"298",1,1,47,12,120,0,140,100,1
"299",1,1,47,12,160,80,140,160,1
"300",1,1,47,12,200,0,180,20,0
"301",0,1,21,13,140,140,120,180,0
"302",0,1,21,13,140,0,120,140,1
"303",0,1,21,13,140,120,80,80,0
"304",0,1,21,13,140,100,100,40,0
"305",0,1,21,13,100,140,100,200,0
"306",0,1,21,13,80,0,140,100,1
"307",0,1,21,13,160,40,120,80,1
"308",0,1,21,13,120,40,140,100,1
"309",0,1,21,13,140,160,160,120,0
"310",0,1,21,13,100,100,200,0,0
"311",0,1,21,13,100,200,100,100,1
"312",0,1,21,13,80,40,140,100,1
"313",0,1,21,13,140,20,120,100,1
"314",0,1,21,13,120,80,100,100,1
"315",0,1,21,13,100,140,100,60,0
"316",0,1,21,13,160,0,100,100,1
"317",0,1,21,13,120,0,140,140,1
"318",0,1,21,13,120,120,140,40,0
"319",0,1,21,13,140,140,120,80,0
"320",0,1,21,13,80,80,140,40,0
"321",0,1,21,13,120,120,140,80,0
"322",0,1,21,13,100,20,100,100,1
"323",0,1,21,13,120,0,140,100,1
"324",0,1,21,13,160,80,140,160,1
"325",0,1,21,13,200,0,180,20,1
"326",0,1,29,14,140,140,120,180,0
"327",0,1,29,14,140,0,120,140,1
"328",0,1,29,14,140,120,80,80,0
"329",0,1,29,14,140,100,100,40,0
"330",0,1,29,14,100,140,100,200,0
"331",0,1,29,14,80,0,140,100,1
"332",0,1,29,14,160,40,120,80,1
"333",0,1,29,14,120,40,140,100,1
"334",0,1,29,14,140,160,160,120,0
"335",0,1,29,14,100,100,200,0,0
"336",0,1,29,14,100,200,100,100,1
"337",0,1,29,14,80,40,140,100,1
"338",0,1,29,14,140,20,120,100,1
"339",0,1,29,14,120,80,100,100,1
"340",0,1,29,14,100,140,100,60,0
"341",0,1,29,14,160,0,100,100,1
"342",0,1,29,14,120,0,140,140,1
"343",0,1,29,14,120,120,140,40,0
"344",0,1,29,14,140,140,120,80,0
"345",0,1,29,14,80,80,140,40,0
"346",0,1,29,14,120,120,140,80,0
"347",0,1,29,14,100,20,100,100,1
"348",0,1,29,14,120,0,140,100,1
"349",0,1,29,14,160,80,140,160,1
"350",0,1,29,14,200,0,180,20,1
"351",0,0,23,15,140,140,120,180,0
"352",0,0,23,15,140,0,120,140,1
"353",0,0,23,15,140,120,80,80,0
"354",0,0,23,15,140,100,100,40,0
"355",0,0,23,15,100,140,100,200,0
"356",0,0,23,15,80,0,140,100,1
"357",0,0,23,15,160,40,120,80,1
"358",0,0,23,15,120,40,140,100,1
"359",0,0,23,15,140,160,160,120,1
"360",0,0,23,15,100,100,200,0,1
"361",0,0,23,15,100,200,100,100,1
"362",0,0,23,15,80,40,140,100,1
"363",0,0,23,15,140,20,120,100,1
"364",0,0,23,15,120,80,100,100,0
"365",0,0,23,15,100,140,100,60,1
"366",0,0,23,15,160,0,100,100,1
"367",0,0,23,15,120,0,140,140,1
"368",0,0,23,15,120,120,140,40,0
"369",0,0,23,15,140,140,120,80,0
"370",0,0,23,15,80,80,140,40,1
"371",0,0,23,15,120,120,140,80,0
"372",0,0,23,15,100,20,100,100,1
"373",0,0,23,15,120,0,140,100,1
"374",0,0,23,15,160,80,140,160,1
"375",0,0,23,15,200,0,180,20,1
"376",0,1,47,16,140,140,120,180,0
"377",0,1,47,16,140,0,120,140,1
"378",0,1,47,16,140,120,80,80,0
"379",0,1,47,16,140,100,100,40,0
"380",0,1,47,16,100,140,100,200,1
"381",0,1,47,16,80,0,140,100,1
"382",0,1,47,16,160,40,120,80,1
"383",0,1,47,16,120,40,140,100,1
"384",0,1,47,16,140,160,160,120,0
"385",0,1,47,16,100,100,200,0,0
"386",0,1,47,16,100,200,100,100,0
"387",0,1,47,16,80,40,140,100,1
"388",0,1,47,16,140,20,120,100,1
"389",0,1,47,16,120,80,100,100,1
"390",0,1,47,16,100,140,100,60,0
"391",0,1,47,16,160,0,100,100,1
"392",0,1,47,16,120,0,140,140,1
"393",0,1,47,16,120,120,140,40,0
"394",0,1,47,16,140,140,120,80,0
"395",0,1,47,16,80,80,140,40,0
"396",0,1,47,16,120,120,140,80,0
"397",0,1,47,16,100,20,100,100,1
"398",0,1,47,16,120,0,140,100,1
"399",0,1,47,16,160,80,140,160,1
"400",0,1,47,16,200,0,180,20,1
"401",1,0,38,17,140,140,120,180,0
"402",1,0,38,17,140,0,120,140,1
"403",1,0,38,17,140,120,80,80,0
"404",1,0,38,17,140,100,100,40,0
"405",1,0,38,17,100,140,100,200,1
"406",1,0,38,17,80,0,140,100,1
"407",1,0,38,17,160,40,120,80,1
"408",1,0,38,17,120,40,140,100,1
"409",1,0,38,17,140,160,160,120,0
"410",1,0,38,17,100,100,200,0,0
"411",1,0,38,17,100,200,100,100,0
"412",1,0,38,17,80,40,140,100,1
"413",1,0,38,17,140,20,120,100,1
"414",1,0,38,17,120,80,100,100,1
"415",1,0,38,17,100,140,100,60,0
"416",1,0,38,17,160,0,100,100,1
"417",1,0,38,17,120,0,140,140,1
"418",1,0,38,17,120,120,140,40,0
"419",1,0,38,17,140,140,120,80,0
"420",1,0,38,17,80,80,140,40,0
"421",1,0,38,17,120,120,140,80,0
"422",1,0,38,17,100,20,100,100,1
"423",1,0,38,17,120,0,140,100,1
"424",1,0,38,17,160,80,140,160,1
"425",1,0,38,17,200,0,180,20,1
"426",0,0,26,18,140,140,120,180,0
"427",0,0,26,18,140,0,120,140,1
"428",0,0,26,18,140,120,80,80,0
"429",0,0,26,18,140,100,100,40,0
"430",0,0,26,18,100,140,100,200,0
"431",0,0,26,18,80,0,140,100,1
"432",0,0,26,18,160,40,120,80,0
"433",0,0,26,18,120,40,140,100,1
"434",0,0,26,18,140,160,160,120,1
"435",0,0,26,18,100,100,200,0,0
"436",0,0,26,18,100,200,100,100,1
"437",0,0,26,18,80,40,140,100,1
"438",0,0,26,18,140,20,120,100,1
"439",0,0,26,18,120,80,100,100,1
"440",0,0,26,18,100,140,100,60,0
"441",0,0,26,18,160,0,100,100,1
"442",0,0,26,18,120,0,140,140,1
"443",0,0,26,18,120,120,140,40,0
"444",0,0,26,18,140,140,120,80,0
"445",0,0,26,18,80,80,140,40,1
"446",0,0,26,18,120,120,140,80,0
"447",0,0,26,18,100,20,100,100,1
"448",0,0,26,18,120,0,140,100,1
"449",0,0,26,18,160,80,140,160,1
"450",0,0,26,18,200,0,180,20,1
"451",1,1,23,19,140,140,120,180,0
"452",1,1,23,19,140,0,120,140,1
"453",1,1,23,19,140,120,80,80,0
"454",1,1,23,19,140,100,100,40,0
"455",1,1,23,19,100,140,100,200,0
"456",1,1,23,19,80,0,140,100,1
"457",1,1,23,19,160,40,120,80,0
"458",1,1,23,19,120,40,140,100,1
"459",1,1,23,19,140,160,160,120,1
"460",1,1,23,19,100,100,200,0,1
"461",1,1,23,19,100,200,100,100,1
"462",1,1,23,19,80,40,140,100,1
"463",1,1,23,19,140,20,120,100,0
"464",1,1,23,19,120,80,100,100,0
"465",1,1,23,19,100,140,100,60,0
"466",1,1,23,19,160,0,100,100,0
"467",1,1,23,19,120,0,140,140,1
"468",1,1,23,19,120,120,140,40,0
"469",1,1,23,19,140,140,120,80,0
"470",1,1,23,19,80,80,140,40,1
"471",1,1,23,19,120,120,140,80,1
"472",1,1,23,19,100,20,100,100,1
"473",1,1,23,19,120,0,140,100,1
"474",1,1,23,19,160,80,140,160,0
"475",1,1,23,19,200,0,180,20,0
"476",0,1,21,20,140,140,120,180,0
"477",0,1,21,20,140,0,120,140,1
"478",0,1,21,20,140,120,80,80,0
"479",0,1,21,20,140,100,100,40,0
"480",0,1,21,20,100,140,100,200,0
"481",0,1,21,20,80,0,140,100,1
"482",0,1,21,20,160,40,120,80,1
"483",0,1,21,20,120,40,140,100,1
"484",0,1,21,20,140,160,160,120,0
"485",0,1,21,20,100,100,200,0,0
"486",0,1,21,20,100,200,100,100,1
"487",0,1,21,20,80,40,140,100,1
"488",0,1,21,20,140,20,120,100,1
"489",0,1,21,20,120,80,100,100,1
"490",0,1,21,20,100,140,100,60,0
"491",0,1,21,20,160,0,100,100,1
"492",0,1,21,20,120,0,140,140,1
"493",0,1,21,20,120,120,140,40,0
"494",0,1,21,20,140,140,120,80,0
"495",0,1,21,20,80,80,140,40,0
"496",0,1,21,20,120,120,140,80,0
"497",0,1,21,20,100,20,100,100,1
"498",0,1,21,20,120,0,140,100,1
"499",0,1,21,20,160,80,140,160,1
"500",0,1,21,20,200,0,180,20,1
"501",1,1,29,21,140,140,120,180,0
"502",1,1,29,21,140,0,120,140,1
"503",1,1,29,21,140,120,80,80,0
"504",1,1,29,21,140,100,100,40,0
"505",1,1,29,21,100,140,100,200,1
"506",1,1,29,21,80,0,140,100,1
"507",1,1,29,21,160,40,120,80,0
"508",1,1,29,21,120,40,140,100,1
"509",1,1,29,21,140,160,160,120,1
"510",1,1,29,21,100,100,200,0,1
"511",1,1,29,21,100,200,100,100,1
"512",1,1,29,21,80,40,140,100,1
"513",1,1,29,21,140,20,120,100,1
"514",1,1,29,21,120,80,100,100,0
"515",1,1,29,21,100,140,100,60,0
"516",1,1,29,21,160,0,100,100,0
"517",1,1,29,21,120,0,140,140,1
"518",1,1,29,21,120,120,140,40,0
"519",1,1,29,21,140,140,120,80,0
"520",1,1,29,21,80,80,140,40,1
"521",1,1,29,21,120,120,140,80,0
"522",1,1,29,21,100,20,100,100,1
"523",1,1,29,21,120,0,140,100,1
"524",1,1,29,21,160,80,140,160,1
"525",1,1,29,21,200,0,180,20,0
"526",0,0,47,22,140,140,120,180,0
"527",0,0,47,22,140,0,120,140,1
"528",0,0,47,22,140,120,80,80,0
"529",0,0,47,22,140,100,100,40,0
"530",0,0,47,22,100,140,100,200,0
"531",0,0,47,22,80,0,140,100,1
"532",0,0,47,22,160,40,120,80,1
"533",0,0,47,22,120,40,140,100,1
"534",0,0,47,22,140,160,160,120,0
"535",0,0,47,22,100,100,200,0,0
"536",0,0,47,22,100,200,100,100,1
"537",0,0,47,22,80,40,140,100,1
"538",0,0,47,22,140,20,120,100,1
"539",0,0,47,22,120,80,100,100,1
"540",0,0,47,22,100,140,100,60,0
"541",0,0,47,22,160,0,100,100,1
"542",0,0,47,22,120,0,140,140,1
"543",0,0,47,22,120,120,140,40,0
"544",0,0,47,22,140,140,120,80,0
"545",0,0,47,22,80,80,140,40,0
"546",0,0,47,22,120,120,140,80,0
"547",0,0,47,22,100,20,100,100,1
"548",0,0,47,22,120,0,140,100,1
"549",0,0,47,22,160,80,140,160,1
"550",0,0,47,22,200,0,180,20,1
"551",1,1,22,23,140,140,120,180,0
"552",1,1,22,23,140,0,120,140,1
"553",1,1,22,23,140,120,80,80,0
"554",1,1,22,23,140,100,100,40,0
"555",1,1,22,23,100,140,100,200,0
"556",1,1,22,23,80,0,140,100,1
"557",1,1,22,23,160,40,120,80,0
"558",1,1,22,23,120,40,140,100,1
"559",1,1,22,23,140,160,160,120,1
"560",1,1,22,23,100,100,200,0,1
"561",1,1,22,23,100,200,100,100,1
"562",1,1,22,23,80,40,140,100,1
"563",1,1,22,23,140,20,120,100,1
"564",1,1,22,23,120,80,100,100,0
"565",1,1,22,23,100,140,100,60,0
"566",1,1,22,23,160,0,100,100,0
"567",1,1,22,23,120,0,140,140,1
"568",1,1,22,23,120,120,140,40,0
"569",1,1,22,23,140,140,120,80,0
"570",1,1,22,23,80,80,140,40,1
"571",1,1,22,23,120,120,140,80,1
"572",1,1,22,23,100,20,100,100,1
"573",1,1,22,23,120,0,140,100,1
"574",1,1,22,23,160,80,140,160,0
"575",1,1,22,23,200,0,180,20,0
"576",1,1,39,24,140,140,120,180,0
"577",1,1,39,24,140,0,120,140,1
"578",1,1,39,24,140,120,80,80,0
"579",1,1,39,24,140,100,100,40,0
"580",1,1,39,24,100,140,100,200,1
"581",1,1,39,24,80,0,140,100,1
"582",1,1,39,24,160,40,120,80,0
"583",1,1,39,24,120,40,140,100,1
"584",1,1,39,24,140,160,160,120,1
"585",1,1,39,24,100,100,200,0,1
"586",1,1,39,24,100,200,100,100,1
"587",1,1,39,24,80,40,140,100,1
"588",1,1,39,24,140,20,120,100,1
"589",1,1,39,24,120,80,100,100,0
"590",1,1,39,24,100,140,100,60,0
"591",1,1,39,24,160,0,100,100,0
"592",1,1,39,24,120,0,140,140,1
"593",1,1,39,24,120,120,140,40,0
"594",1,1,39,24,140,140,120,80,0
"595",1,1,39,24,80,80,140,40,1
"596",1,1,39,24,120,120,140,80,0
"597",1,1,39,24,100,20,100,100,1
"598",1,1,39,24,120,0,140,100,1
"599",1,1,39,24,160,80,140,160,1
"600",1,1,39,24,200,0,180,20,0
"601",1,1,47,25,140,140,120,180,0
"602",1,1,47,25,140,0,120,140,1
"603",1,1,47,25,140,120,80,80,0
"604",1,1,47,25,140,100,100,40,0
"605",1,1,47,25,100,140,100,200,0
"606",1,1,47,25,80,0,140,100,1
"607",1,1,47,25,160,40,120,80,0
"608",1,1,47,25,120,40,140,100,1
"609",1,1,47,25,140,160,160,120,1
"610",1,1,47,25,100,100,200,0,0
"611",1,1,47,25,100,200,100,100,0
"612",1,1,47,25,80,40,140,100,1
"613",1,1,47,25,140,20,120,100,1
"614",1,1,47,25,120,80,100,100,0
"615",1,1,47,25,100,140,100,60,0
"616",1,1,47,25,160,0,100,100,1
"617",1,1,47,25,120,0,140,140,1
"618",1,1,47,25,120,120,140,40,0
"619",1,1,47,25,140,140,120,80,0
"620",1,1,47,25,80,80,140,40,1
"621",1,1,47,25,120,120,140,80,0
"622",1,1,47,25,100,20,100,100,1
"623",1,1,47,25,120,0,140,100,1
"624",1,1,47,25,160,80,140,160,1
"625",1,1,47,25,200,0,180,20,0
"626",0,0,27,26,140,140,120,180,0
"627",0,0,27,26,140,0,120,140,1
"628",0,0,27,26,140,120,80,80,0
"629",0,0,27,26,140,100,100,40,0
"630",0,0,27,26,100,140,100,200,0
"631",0,0,27,26,80,0,140,100,1
"632",0,0,27,26,160,40,120,80,0
"633",0,0,27,26,120,40,140,100,1
"634",0,0,27,26,140,160,160,120,1
"635",0,0,27,26,100,100,200,0,0
"636",0,0,27,26,100,200,100,100,1
"637",0,0,27,26,80,40,140,100,1
"638",0,0,27,26,140,20,120,100,1
"639",0,0,27,26,120,80,100,100,0
"640",0,0,27,26,100,140,100,60,0
"641",0,0,27,26,160,0,100,100,1
"642",0,0,27,26,120,0,140,140,1
"643",0,0,27,26,120,120,140,40,0
"644",0,0,27,26,140,140,120,80,0
"645",0,0,27,26,80,80,140,40,1
"646",0,0,27,26,120,120,140,80,0
"647",0,0,27,26,100,20,100,100,1
"648",0,0,27,26,120,0,140,100,1
"649",0,0,27,26,160,80,140,160,1
"650",0,0,27,26,200,0,180,20,1
"651",0,1,36,27,140,140,120,180,0
"652",0,1,36,27,140,0,120,140,1
"653",0,1,36,27,140,120,80,80,0
"654",0,1,36,27,140,100,100,40,0
"655",0,1,36,27,100,140,100,200,0
"656",0,1,36,27,80,0,140,100,1
"657",0,1,36,27,160,40,120,80,1
"658",0,1,36,27,120,40,140,100,1
"659",0,1,36,27,140,160,160,120,0
"660",0,1,36,27,100,100,200,0,0
"661",0,1,36,27,100,200,100,100,1
"662",0,1,36,27,80,40,140,100,1
"663",0,1,36,27,140,20,120,100,1
